TICKER,CORPORATE_CCANAME,CORPORATE_ENAME1
T3817,ＳＲＡホールディングス,SRA HOLDINGS
T3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ,THE WHY HOW DO COMPANY
T3824,メディアファイブ,MEDIA FIVE
T3825,リミックスポイント,REMIXPOINT
T3826,システムインテグレータ,SYSTEM INTEGRATOR
T3834,朝日ネット,ASAHI NET
T3835,ｅＢＡＳＥ,EBASE
T3836,アバントグループ,AVANT GROUP
T3837,アドソル日進,AD-SOL NISSIN
T3839,ＯＤＫソリューションズ,ODK SOLUTIONS
T3840,パス,PATH
T3841,ジーダット,JEDAT
T3842,ネクストジェン,NEXTGEN
T3843,フリービット,FREEBIT
T3844,コムチュア,COMTURE
T3845,アイフリークモバイル,I-FREEK MOBILE
T3847,パシフィックシステム,PACIFIC SYSTEMS
T3848,データ・アプリケーション,DATA APPLICATIONS
T3849,日本テクノ・ラボ,NIPPON TECHNO LAB
T3850,エヌ・ティ・ティ・データ・イン,NTT DATA INTRAMART
T3851,日本一ソフトウェア,NIPPON ICHI SOFTWARE
T3853,アステリア,ASTERIA
T3854,アイル,ILL
T3856,Ａｂａｌａｎｃｅ,ABALANCE
T3858,ユビキタスＡＩ,UBIQUITOUS AI
T385A,山本通産,YAMAMOTO TRADING
T3861,王子ホールディングス,OJI HOLDINGS
T3863,日本製紙,NIPPON PAPER INDUSTRIES
T3864,三菱製紙,MITSUBISHI PAPER MILLS
T3865,北越コーポレーション,HOKUETSU
T386A,みのや,MINOYA
T3877,中越パルプ工業,CHUETSU PULP & PAPER
T3878,巴川コーポレーション,TOMOEGAWA
T387A,フラー,FULLER
T3880,大王製紙,DAIO PAPER
T3891,ニッポン高度紙工業,NIPPON KODOSHI
T3892,岡山製紙,OKAYAMA PAPER INDUSTRIES
T3895,ハビックス,HAVIX
T3896,阿波製紙,AWA PAPER & TECHNOLOGICAL COMP
T389A,八光オートメーション,HAKKO AUTOMATION
T3900,クラウドワークス,CROWDWORKS
T3901,マークラインズ,MARKLINES
T3902,メディカル・データ・ビジョン,MEDICAL DATA VISION
T3903,ｇｕｍｉ,GUMI
T3904,カヤック,KAYAC
T3905,データセクション,DATASECTION
T3907,シリコンスタジオ,SILICON STUDIO
T3908,コラボス,COLLABOS
T3909,ショーケース,SHOWCASE
T3910,エムケイシステム,MKSYSTEM
T3911,Ａｉｍｉｎｇ,AIMING
T3912,モバイルファクトリー,MOBILE FACTORY
T3913,ＧｒｅｅｎＢｅｅ,GREENBEE
T3914,ＪＩＧ－ＳＡＷ,JIG-SAW
T3915,テラスカイ,TERRASKY
T3916,デジタル・インフォメーション・,DIGITAL INFORMATION TECHNOLOGI
T3917,アイリッジ,IRIDGE
T3918,ＰＣＩホールディングス,PCI HOLDINGS
T391A,山忠,YAMACHUU
T3920,アイビーシー,INTERNETWORKING & BROADBAND CO
T3921,ネオジャパン,NEOJAPAN
T3922,ＰＲ　ＴＩＭＥＳ,PR TIMES
T3923,ラクス,RAKUS
T3924,ランドコンピュータ,R&D COMPUTER
T3925,ダブルスタンダード,DOUBLE STANDARD
T3926,オープンドア,OPEN DOOR
T3927,フーバーブレイン,FUVA BRAIN
T3928,マイネット,MYNET
T3929,ソーシャルワイヤー,SOCIALWIRE
T3930,はてな,HATENA
T3931,バリューゴルフ,VALUE GOLF
T3932,アカツキ,AKATSUKI
T3933,チエル,CHIERU
T3934,ベネフィットジャパン,BENEFIT JAPAN
T3935,エディア,EDIA
T3936,グローバルウェイ,GLOBALWAY
T3937,Ｕｂｉｃｏｍホールディングス,UBICOM HOLDINGS
T3939,カナミックネットワーク,KANAMIC NETWORK
T393A,ＲｉｔａＸ,RITAX
T3940,ノムラシステムコーポレーション,NOMURA SYSTEM CORPORATION
T3941,レンゴー,RENGO
T3943,大石産業,OHISHI SANGYO
T3944,古林紙工,FURUBAYASHI SHIKO
T3945,スーパーバッグ,SUPERBAG
T3946,トーモク,TOMOKU
T3947,ダイナパック,DYNAPAC
T3948,光ビジネスフォーム,HIKARI BUSINESS FORM
T3950,ザ・パック,PACK
T3951,朝日印刷,ASAHI PRINTING
T3953,大村紙業,OHMURA SHIGYO
T3954,昭和パックス,SHOWA PAXXS
T3955,イムラ,IMURA
T3958,笹徳印刷,SASATOKU PRINTING
T3961,シルバーエッグ・テクノロジー,SILVER EGG TECHNOLOGY
T3962,チェンジホールディングス,CHANGE HOLDINGS
T3963,シンクロ・フード,SYNCHRO FOOD
T3964,オークネット,AUCNET
T3965,キャピタル・アセット・プランニ,CAPITAL ASSET PLANNING
T3967,エルテス,ELTES
T3968,セグエグループ,SEGUE GROUP
T3969,エイトレッド,ATLED
T3970,イノベーション,INNOVATION
T3974,ＳＣＡＴ,SCAT
T3976,シャノン,SHANON
T3977,フュージョン,FUSION
T3979,うるる,ULURU
T3981,ビーグリー,BEAGLEE
T3983,オロ,ORO
T3984,ユーザーローカル,USER LOCAL
T3985,テモナ,TEMONA
T3986,ビーブレイクシステムズ,BBREAK SYSTEMS
T3987,エコモット,ECOMOTT
T3988,ＳＹＳホールディングス,SYS HOLDINGS
T3989,シェアリングテクノロジー,SHARINGTECHNOLOGY
T398A,リアルクオリティ,REAL QUALITY
T3991,ウォンテッドリー,WANTEDLY
T3992,ニーズウェル,NEEDS WELL
T3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇ,PKSHA TECHNOLOGY
T3994,マネーフォワード,MONEY FORWARD
T3996,サインポスト,SIGNPOST
T3997,トレードワークス,TRADE WORKS
T3998,すららネット,SURALA NET
T4004,レゾナック・ホールディングス,RESONAC HOLDINGS
T4005,住友化学,SUMITOMO CHEMICAL
T4008,住友精化,SUMITOMO SEIKA CHEMICALS
T4011,ヘッドウォータース,HEADWATERS
T4012,アクシス,AXIS
T4013,勤次郎,KINJIRO
T4014,カラダノート,KARADANOTE
T4015,ペイクラウドホールディングス,PAYCLOUD HOLDINGS
T4016,ＭＩＴホールディングス,MIT HOLDINGS
T4017,クリーマ,CREEMA
T4018,Ｇｅｏｌｏｃａｔｉｏｎ　Ｔｅｃ,GEOLOCATION TECHNOLOGY
T4019,スタメン,STMN
T4020,ビートレンド,BETREND
T4021,日産化学,NISSAN CHEMICAL
T4022,ラサ工業,RASA INDUSTRIES
T4023,クレハ,KUREHA
T4025,多木化学,TAKI CHEMICAL
T4026,神島化学工業,KONOSHIMA CHEMICAL
T4027,テイカ,TAYCA
T4028,石原産業,ISHIHARA SANGYO
T402A,アクセルスペースホールディング,AXELSPACE HOLDINGS
T4031,片倉コープアグリ,KATAKURA & CO-OP AGRI
T403A,北条組,HOJYOGUMI
T4040,南海化学,NANKAI CHEMICAL
T4041,日本曹達,NIPPON SODA
T4042,東ソー,TOSOH
T4043,トクヤマ,TOKUYAMA
T4044,セントラル硝子,CENTRAL GLASS
T4045,東亜合成,TOAGOSEI
T4046,大阪ソーダ,OSAKA SODA
T4047,関東電化工業,KANTO DENKA KOGYO
T4051,ＧＭＯフィナンシャルゲート,GMO FINANCIAL GATE
T4052,フィーチャ,FICHA
T4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,SUN*
T4054,日本情報クリエイト,JAPAN PROPTECH
T4055,ティアンドエスグループ,T&S GROUP
T4056,ニューラルグループ,NEURAL GROUP
T4057,インターファクトリー,INTERFACTORY
T4058,トヨクモ,TOYOKUMO
T4059,まぐまぐ,MAGMAG
T4060,ｒａｋｕｍｏ,RAKUMO
T4061,デンカ,DENKA
T4062,イビデン,IBIDEN
T4063,信越化学工業,SHIN-ETSU CHEMICAL
T4064,日本カーバイド工業,NIPPON CARBIDE INDUSTRIES
T4068,ベイシス,BASIS
T4069,ＢｌｕｅＭｅｍｅ,BLUEMEME
T4071,プラスアルファ・コンサルティン,PLUS ALPHA CONSULTING
T4072,電算システムホールディングス,DENSAN SYSTEM HOLDINGS
T4073,ジィ・シィ企画,GLOBAL COMMUNICATION PLANNING
T4074,ラキール,LAKEEL
T4075,ブレインズテクノロジー,BRAINS TECHNOLOGY
T4076,シイエヌエス,CNS
T4078,堺化学工業,SAKAI CHEMICAL INDUSTRY
T4080,田中化学研究所,TANAKA CHEMICAL
T4082,第一稀元素化学工業,DAIICHI KIGENSO KAGAKU KOGYO
T4088,エア・ウォーター,AIR WATER
T4091,日本酸素ホールディングス,NIPPON SANSO HOLDINGS
T4092,日本化学工業,NIPPON CHEMICAL INDUSTRIAL
T4093,東邦アセチレン,TOHO ACETYLENE
T4094,日本化学産業,NIHON KAGAKU SANGYO
T4095,日本パーカライジング,NIHON PARKERIZING
T4097,高圧ガス工業,KOATSU GAS KOGYO
T4098,チタン工業,TITAN KOGYO
T4099,四国化成ホールディングス,SHIKOKU KASEI HOLDINGS
T4100,戸田工業,TODA KOGYO
T4102,丸尾カルシウム,MARUO CALCIUM
T4107,伊勢化学工業,ISE CHEMICALS
T4109,ステラ　ケミファ,STELLA CHEMIFA
T4112,保土谷化学工業,HODOGAYA CHEMICAL
T4113,田岡化学工業,TAOKA CHEMICAL
T4114,日本触媒,NIPPON SHOKUBAI
T4116,大日精化工業,DAINICHISEIKA COLOR & CHEMICAL
T4118,カネカ,KANEKA
T4119,日本ピグメントホールディングス,NIPPON PIGMENT HOLDINGS
T4120,スガイ化学工業,SUGAI CHEMICAL INDUSTRY
T4124,大阪油化工業,OSAKA YUKA INDUSTRY
T4125,三和油化工業,SANWAYUKA INDUSTRY
T4151,協和キリン,KYOWA KIRIN
T4165,プレイド,PLAID
T4166,かっこ,CACCO
T4167,ココペリ,KOKOPELLI
T4168,ヤプリ,YAPPLI
T4169,ＥＮＥＣＨＡＮＧＥ,ENECHANGE
T4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,KAIZEN PLATFORM
T4171,グローバルインフォメーション,GLOBAL INFORMATION
T4172,東和ハイシステム,TOWA HI SYSTEM
T4174,アピリッツ,APPIRITS
T4175,ｃｏｌｙ,COLY
T4176,ココナラ,COCONALA
T4177,ｉ－ｐｌｕｇ,I-PLUG
T4178,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔ,SHARING INNOVATIONS
T4179,ジーネクスト,G-NEXT
T4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,APPIER GROUP
T4182,三菱瓦斯化学,MITSUBISHI GAS CHEMICAL
T4183,三井化学,MITSUI CHEMICALS
T4186,東京応化工業,TOKYO OHKA KOGYO
T4187,大阪有機化学工業,OSAKA ORGANIC CHEMICAL IND.
T4188,三菱ケミカルグループ,MITSUBISHI CHEMICAL GROUP
T4189,ＫＨネオケム,KH NEOCHEM
T4192,スパイダープラス,SPIDERPLUS
T4193,ファブリカホールディングス,FABRICA HOLDINGS
T4194,ビジョナル,VISIONAL
T4196,ネオマーケティング,NEO MARKETING
T4197,アスマーク,ASMARQ
T4198,テンダ,TENDA
T4199,ワンダープラネット,WONDERPLANET
T4202,ダイセル,DAICEL
T4203,住友ベークライト,SUMITOMO BAKELITE
T4204,積水化学工業,SEKISUI CHEMICAL
T4205,日本ゼオン,ZEON
T4206,アイカ工業,AICA KOGYO
T4208,ＵＢＥ,UBE
T4212,積水樹脂,SEKISUI JUSHI
T4216,旭有機材,ASAHI YUKIZAI
T4218,ニチバン,NICHIBAN
T4220,リケンテクノス,RIKEN TECHNOS
T4221,大倉工業,OKURA INDUSTRIAL
T4222,児玉化学工業,KODAMA CHEMICAL INDUSTRY
T4224,ロンシール工業,LONSEAL
T4228,積水化成品工業,SEKISUI KASEI
T4229,群栄化学工業,GUN EI CHEMICAL INDUSTRY
T4231,タイガースポリマー,TIGERS POLYMER
T4234,サンエー化研,SUN A. KAKEN
T4235,ウルトラファブリックス・ホール,ULTRAFABRICS HOLDINGS
T4237,フジプレアム,FUJIPREAM
T4238,ミライアル,MIRAIAL
T4240,クラスターテクノロジー,CLUSTER TECHNOLOGY
T4241,アテクト,ATECT
T4242,タカギセイコー,TAKAGI SEIKO
T4243,ニックス,NIX
T4245,ダイキアクシス,DAIKI AXIS
T4246,ダイキョーニシカワ,DAIKYONISHIKAWA
T4247,ポバール興業,POVAL KOGYO
T4248,竹本容器,TAKEMOTO YOHKI
T4249,森六,MORIROKU
T4250,フロンティア,FRONTIER
T4251,恵和,KEIWA
T4255,ＴＨＥＣＯＯ,THECOO
T4256,サインド,CYND
T4258,網屋,AMIYA
T4259,エクサウィザーズ,EXAWIZARDS
T4260,ハイブリッドテクノロジーズ,HYBRID TECHNOLOGIES
T4261,アジアクエスト,ASIAQUEST
T4262,ニフティライフスタイル,NIFTY LIFESTYLE
T4263,サスメド,SUSMED
T4264,セキュア,SECURE
T4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ,INSTITUTION FOR A GLOBAL SOCIE
T4270,ＢｅｅＸ,BEEX
T4272,日本化薬,NIPPON KAYAKU
T4274,細谷火工,HOSOYA PYRO-ENGINEERING
T4275,カーリット,CARLIT
T4284,ソルクシーズ,SOLXYZ
T4286,ＣＬホールディングス,CL HOLDINGS
T4287,ジャストプランニング,JUSTPLANNING
T4288,アズジェント,ASGENT
T4290,プレステージ・インターナショナ,PRESTIGE INTERNATIONAL
T4293,セプテーニ・ホールディングス,SEPTENI HOLDINGS
T4299,ハイマックス,HIMACS
T4301,アミューズ,AMUSE
T4307,野村総合研究所,NOMURA RESEARCH INSTITUTE
T4308,Ｊストリーム,J-STREAM
T4310,ドリームインキュベータ,DREAM INCUBATOR
T4316,ビーマップ,BEMAP
T4317,レイ,RAY
T4318,クイック,QUICK
T4319,ＴＡＣ,TAC
T4320,ＣＥホールディングス,CE HOLDINGS
T4323,日本システム技術,JAPAN SYSTEM TECHNIQUES
T4324,電通グループ,DENTSU GROUP
T4326,インテージホールディングス,INTAGE HOLDINGS
T4331,テイクアンドギヴ・ニーズ,TAKE AND GIVE. NEEDS
T4333,東邦システムサイエンス,TOHO SYSTEM SCIENCE
T4334,ユークス,YUKES
T4335,ＩＰＳホールディングス,IPS HOLDINGS
T4337,ぴあ,PIA
T4341,西菱電機,SEIRYO ELECTRIC
T4343,イオンファンタジー,AEON FANTASY
T4344,ソースネクスト,SOURCENEXT
T4345,シーティーエス,CTS
T4346,ＮＥＸＹＺ．Ｇｒｏｕｐ,NEXYZ.GROUP
T4347,ブロードメディア,BROADMEDIA
T4350,メディカルシステムネットワーク,MEDICAL SYSTEM NETWORK
T4351,山田再生系債権回収総合事務所,YAMADA SERVICER SYNTHETIC OFFI
T4356,応用技術,APPLIED TECHNOLOGY
T4360,マナック・ケミカル・パートナー,MANAC CHEMICAL PARTNERS
T4361,川口化学工業,KAWAGUCHI CHEMICAL INDUSTRY
T4362,日本精化,NIPPON FINE CHEMICAL
T4365,松本油脂製薬,MATSUMOTO YUSHI-SEIYAKU
T4366,ダイトーケミックス,DAITO CHEMIX
T4367,広栄化学,KOEI CHEMICAL
T4368,扶桑化学工業,FUSO CHEMICAL
T4369,トリケミカル研究所,TRI CHEMICAL LABORATORIES
T4370,モビルス,MOBILUS
T4371,コアコンセプト・テクノロジー,CORE CONCEPT TECHNOLOGIES
T4372,ユミルリンク,YMIRLINK
T4373,シンプレクス・ホールディングス,SIMPLEX HOLDINGS
T4374,ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,ROBOT PAYMENT
T4375,セーフィー,SAFIE
T4376,くふうカンパニーホールディング,KUFU COMPANY HOLDINGS
T4377,ワンキャリア,ONE CAREER
T4378,ＣＩＮＣ,CINC
T4379,Ｐｈｏｔｏｓｙｎｔｈ,PHOTOSYNTH
T4380,Ｍマート,M-MART
T4381,ビープラッツ,BPLATS
T4382,ＨＥＲＯＺ,HEROZ
T4384,ラクスル,RAKSUL
T4385,メルカリ,MERCARI
T4386,ＳＩＧグループ,SIG GROUP
T4387,ＺＵＵ,ZUU
T4388,エーアイ,AI
T4389,プロパティデータバンク,PROPERTY DATA BANK
T4390,アイ・ピー・エス,IPS
T4391,ロジザード,LOGIZARD
T4392,ＦＩＧ,FUTURE INNOVATION GROUP
T4393,バンク・オブ・イノベーション,BANK OF INNOVATION
T4394,エクスモーション,EXMOTION
T4395,アクリート,ACCRETE
T4396,システムサポートホールディング,SYSTEM SUPPORT HOLDINGS
T4397,チームスピリット,TEAMSPIRIT
T4398,ブロードバンドセキュリティ,BROADBAND SECURITY
T4401,ＡＤＥＫＡ,ADEKA
T4403,日油,NOF
T4404,ミヨシ油脂,MIYOSHI OIL & FAT
T4406,新日本理化,NEW JAPAN CHEMICAL
T4409,東邦化学工業,TOHO CHEMICAL INDUSTRY
T4410,ハリマ化成グループ,HARIMA CHEMICALS GROUP
T4412,サイエンスアーツ,SCIENCE ARTS
T4413,ボードルア,BAUDROIE
T4414,フレクト,FLECT
T4415,ブロードエンタープライズ,BROAD ENTERPRISE
T4416,Ｔｒｕｅ　Ｄａｔａ,TRUE DATA
T4417,グローバルセキュリティエキスパ,GLOBAL SECURITY EXPERTS
T4418,ＪＤＳＣ,JAPAN DATA SCIENCE CONSORTIUM
T4419,Ｆｉｎａｔｅｘｔホールディング,FINATEXT HOLDINGS
T4420,イーソル,ESOL
T4421,ディ・アイ・システム,D.I.SYSTEM
T4422,ＶＡＬＵＥＮＥＸ,VALUENEX JAPAN
T4424,Ａｍａｚｉａ,AMAZIA
T4425,Ｋｕｄａｎ,KUDAN
T4426,パスロジ,PASSLOGY
T4427,ＥｄｕＬａｂ,EDULAB
T4428,シノプス,SINOPS
T4429,リックソフト,RICKSOFT
T4430,東海ソフト,TOKAI SOFT
T4431,スマレジ,SMAREGI
T4432,ウイングアーク１ｓｔ,WINGARC1ST
T4433,ヒト・コミュニケーションズ・ホ,HITO-COMMUNICATIONS HOLDINGS
T4434,サーバーワークス,SERVERWORKS
T4436,ミンカブ・ジ・インフォノイド,MINKABU THE INFONOID
T4437,ｇｏｏｄｄａｙｓホールディング,GOODDAYS HOLDINGS
T4438,Ｗｅｌｂｙ,WELBY
T4439,東名,TOUMEI
T4440,ヴィッツ,WITZ
T4441,トビラシステムズ,TOBILA SYSTEMS
T4442,バルテス・ホールディングス,VALTES HOLDINGS
T4443,Ｓａｎｓａｎ,SANSAN
T4444,インフォネット,INFONET
T4445,リビン・テクノロジーズ,LIVING TECHNOLOGIES
T4446,Ｌｉｎｋ－Ｕグループ,LINK-U GROUP
T4447,ピー・ビーシステムズ,PBSYSTEMS
T4448,ｋｕｂｅｌｌ,KUBELL
T4449,ギフティ,GIFTEE
T4450,パワーソリューションズ,POWER SOLUTIONS
T4452,花王,KAO
T4461,第一工業製薬,DKS
T4462,石原ケミカル,ISHIHARA CHEMICAL
T4463,日華化学,NICCA CHEMICAL
T4464,ソフト９９コーポレーション,SOFT99
T4465,ニイタカ,NIITAKA
T4471,三洋化成工業,SANYO CHEMICAL INDUSTRIES
T4475,ＨＥＮＮＧＥ,HENNGE
T4476,ＡＩ　ＣＲＯＳＳ,AI CROSS
T4477,ＢＡＳＥ,BASE
T4478,フリー,FREEE
T4479,マクアケ,MAKUAKE
T4480,メドレー,MEDLEY
T4481,ベース,BASE
T4482,ウィルズ,WILLS
T4483,ＪＭＤＣ,JMDC
T4484,ランサーズ,LANCERS
T4486,ユナイトアンドグロウ,UNITE & GROW
T4487,スペースマーケット,SPACEMARKET
T4488,ＡＩ　ｉｎｓｉｄｅ,AI INSIDE
T4490,ビザスク,VISASQ
T4491,コンピューターマネージメント,COMPUTER MANAGEMENT
T4492,ゼネテック,GENETEC
T4493,サイバーセキュリティクラウド,CYBER SECURITY CLOUD
T4494,バリオセキュア,VARIO SECURE
T4495,アイキューブドシステムズ,I CUBED SYSTEMS
T4496,コマースＯｎｅホールディングス,COMMERCE ONE HOLDINGS
T4498,サイバートラスト,CYBERTRUST JAPAN
T4499,Ｓｐｅｅｅ,SPEEE
T4502,武田薬品工業,TAKEDA PHARMACEUTICAL
T4503,アステラス製薬,ASTELLAS PHARMA
T4506,住友ファーマ,SUMITOMO PHARMA
T4507,塩野義製薬,SHIONOGI
T4512,わかもと製薬,WAKAMOTO PHARMACEUTICAL
T4516,日本新薬,NIPPON SHINYAKU
T4519,中外製薬,CHUGAI PHARMACEUTICAL
T4521,科研製薬,KAKEN PHARMACEUTICAL
T4523,エーザイ,EISAI
T4524,森下仁丹,MORISHITA JINTAN
T4526,理研ビタミン,RIKEN VITAMIN
T4527,ロート製薬,ROHTO PHARMACEUTICAL
T4528,小野薬品工業,ONO PHARMACEUTICAL
T4530,久光製薬,HISAMITSU PHARMACEUTICAL
T4531,有機合成薬品工業,YUKI GOSEI KOGYO
T4534,持田製薬,MOCHIDA PHARMACEUTICAL
T4536,参天製薬,SANTEN PHARMACEUTICAL
T4538,扶桑薬品工業,FUSO PHARMACEUTICAL IND.
T4539,日本ケミファ,NIPPON CHEMIPHAR
T4540,ツムラ,TSUMURA
T4543,テルモ,TERUMO
T4544,Ｈ．Ｕ．グループホールディング,H.U. GROUP HOLDINGS
T4547,キッセイ薬品工業,KISSEI PHARMACEUTICAL
T4548,生化学工業,SEIKAGAKU
T4549,栄研化学,EIKEN CHEMICAL
T4551,鳥居薬品,TORII PHARMACEUTICAL
T4552,ＪＣＲファーマ,JCR PHARMACEUTICALS
T4553,東和薬品,TOWA PHARMACEUTICAL
T4554,富士製薬工業,FUJI PHARMA
T4556,カイノス,KAINOS LABORATORIES
T4558,中京医薬品,CHUKYOIYAKUHIN
T4559,ゼリア新薬工業,ZERIA PHARMACEUTICAL
T4563,アンジェス,ANGES
T4564,オンコセラピー・サイエンス,ONCOTHERAPY SCIENCE
T4565,ネクセラファーマ,NXERA PHARMA
T4568,第一三共,DAIICHI SANKYO
T4569,杏林製薬,KYORIN PHARMACEUTICAL
T4570,免疫生物研究所,IMMUNO-BIOLOGICAL LABORATORIES
T4571,ＮＡＮＯ　ＭＲＮＡ,NANO MRNA
T4572,カルナバイオサイエンス,CARNA BIOSCIENCES
T4574,大幸薬品,TAIKO PHARMACEUTICAL
T4575,キャンバス,CANBAS
T4576,デ・ウエスタン・セラピテクス研,D.WESTERN THERAPEUTICS INSTITU
T4577,ダイト,DAITO PHARMACEUTICAL
T4578,大塚ホールディングス,OTSUKA HOLDINGS
T4579,ラクオリア創薬,RAQUALIA PHARMA
T4582,シンバイオ製薬,SYMBIO PHARMACEUTICALS
T4583,カイオム・バイオサイエンス,CHIOME BIOSCIENCE
T4584,キッズウェル・バイオ,KIDSWELL BIO
T4586,メドレックス,MEDRX
T4587,ペプチドリーム,PEPTIDREAM
T4588,オンコリスバイオファーマ,ONCOLYS BIOPHARMA
T4591,リボミック,RIBOMIC
T4592,サンバイオ,SANBIO
T4593,ヘリオス,HEALIOS
T4594,ブライトパス・バイオ,BRIGHTPATH BIOTHERAPEUTICS
T4595,ミズホメディー,MIZUHO MEDY
T4596,窪田製薬ホールディングス,KUBOTA PHARMACEUTICAL HOLDINGS
T4597,ソレイジア・ファーマ,SOLASIA PHARMA
T4598,Ｄｅｌｔａ－Ｆｌｙ　Ｐｈａｒｍ,DELTA-FLY PHARMA
T4599,ステムリム,STEMRIM
T4611,大日本塗料,DAI NIPPON TORYO
T4612,日本ペイントホールディングス,NIPPON PAINT HOLDINGS
T4613,関西ペイント,KANSAI PAINT
T4615,神東塗料,SHINTO PAINT
T4616,川上塗料,KAWAKAMI PAINT MFG.
T4617,中国塗料,CHUGOKU MARINE PAINTS
T4619,日本特殊塗料,NIHON TOKUSHU TORYO
T4620,藤倉化成,FUJIKURA KASEI
T4623,アサヒペン,ASAHIPEN
T4624,イサム塗料,ISAMU PAINT
T4625,アトミクス,ATOMIX
T4626,太陽ホールディングス,TAIYO HOLDINGS
T4627,ナトコ,NATOCO
T4628,エスケー化研,SK KAKEN
T4629,大伸化学,DAISHIN CHEMICAL
T4631,ＤＩＣ,DIC
T4633,サカタインクス,SAKATA INX
T4634,ａｒｔｉｅｎｃｅ,ARTIENCE
T4635,東京インキ,TOKYO PRINTING INK MFG.
T4641,アルプス技研,ALTECH
T4642,オリジナル設計,ORIGINAL ENGINEERING CONSULTAN
T4644,イマジニア,IMAGINEER
T4645,市進ホールディングス,ICHISHIN HOLDINGS
T4650,ＳＤエンターテイメント,SD ENTERTAINMENT
T4651,サニックスホールディングス,SANIX HOLDINGS
T4657,環境管理センター,ENVIRONMENTAL CONTROL CENTER
T4658,日本空調サービス,NIPPON AIR CONDITIONING SERVIC
T4659,エイジス,AJIS
T4661,オリエンタルランド,ORIENTAL LAND
T4662,フォーカスシステムズ,FOCUS SYSTEMS
T4664,アール・エス・シー,JAPAN RELIANCE SERVICE
T4665,ダスキン,DUSKIN
T4666,パーク２４,PARK24
T4667,アイサンテクノロジー,AISAN TECHNOLOGY
T4668,明光ネットワークジャパン,MEIKO NETWORK JAPAN
T4671,ファルコホールディングス,FALCO HOLDINGS
T4673,川崎地質,KAWASAKI GEOLOGICAL ENGINEERIN
T4674,クレスコ,CRESCO
T4676,フジ・メディア・ホールディング,FUJI MEDIA HOLDINGS
T4678,秀英予備校,SHUEI YOBIKO
T4679,田谷,TAYA
T4680,ラウンドワン,ROUND ONE
T4681,リゾートトラスト,RESORTTRUST
T4684,オービック,OBIC
T4685,菱友システムズ,RYOYU SYSTEMS
T4686,ジャストシステム,JUSTSYSTEMS
T4687,ＴＤＣソフト,TDC SOFT
T4689,ＬＩＮＥヤフー,LY
T4690,日本パレットプール,NIPPON PALLET POOL
T4691,ワシントンホテル,WASHINGTON HOTEL
T4694,ビー・エム・エル,BML
T4704,トレンドマイクロ,TREND MICRO
T4705,クリップコーポレーション,CLIP
T4707,キタック,KITAC
T4709,ＩＤホールディングス,ID HOLDINGS
T4712,ＫｅｙＨｏｌｄｅｒ,KEYHOLDER
T4714,リソー教育,RISO KYOIKU
T4716,日本オラクル,ORACLE JAPAN
T4718,早稲田アカデミー,WASEDA ACADEMY
T4719,アルファシステムズ,ALPHA SYSTEMS
T4720,城南進学研究社,JOHNAN ACADEMIC PREPARATORY
T4722,フューチャー,FUTURE
T4725,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,CAC HOLDINGS
T4728,トーセ,TOSE
T4732,ユー・エス・エス,USS
T4733,オービックビジネスコンサルタン,OBIC BUSINESS CONSULTANTS
T4735,京進,KYOSHIN
T4736,日本ラッド,NIPPON RAD
T4743,アイティフォー,ITFOR
T4745,東京個別指導学院,TOKYO INDIVIDUALIZED EDUCATION
T4746,東計電算,TOUKEI COMPUTER
T4750,ダイサン,DAISAN
T4751,サイバーエージェント,CYBERAGENT
T4752,昭和システムエンジニアリング,SHOWA SYSTEM ENGINEERING
T4754,トスネット,TOSNET
T4755,楽天グループ,RAKUTEN GROUP
T4760,アルファ,ALPHA
T4761,さくらケーシーエス,SAKURA KCS
T4762,エックスネット,XNET
T4763,クリーク・アンド・リバー社,CREEK & RIVER
T4765,ＳＢＩグローバルアセットマネジ,SBI GLOBAL ASSET MANAGEMENT
T4766,ピーエイ,PA
T4767,テー・オー・ダブリュー,TOW
T4768,大塚商会,OTSUKA
T4769,ＩＣ,IC
T4771,エフアンドエム,F & M
T4772,ＳＭ　ＥＮＴＥＲＴＡＩＮＭＥＮ,SM ENTERTAINMENT JAPAN
T4776,サイボウズ,CYBOZU
T4777,ガーラ,GALA
T4783,ＮＣＤ,NCD
T4784,ＧＭＯインターネット,GMO INTERNET
T4792,山田コンサルティンググループ,YAMADA CONSULTING GROUP
T4800,オリコン,ORICON
T4801,セントラルスポーツ,CENTRAL SPORTS
T4809,パラカ,PARACA
T4811,ドリーム・アーツ,DREAMARTS
T4812,電通総研,DENTSU SOKEN
T4813,ＡＣＣＥＳＳ,ACCESS
T4814,ネクストウェア,NEXTWARE
T4816,東映アニメーション,TOEI ANIMATION
T4819,デジタルガレージ,DIGITAL GARAGE
T4820,ＥＭシステムズ,EM SYSTEMS
